store_name,discount,category
Sierra US,8.10%,"Home & DIY, Leisure & Sports"
Simms Steakhouse US,10.80%,Food & Drink
Simon & Seafort's Saloon & Grill US,10.80%,Food & Drink
Simply Chocolate,11.70%,"Department Stores, Food & Drink"
SiriusXM US,5.36%,Entertainment
Skates on the Bay US,10.80%,Food & Drink
Sling TV US,8.10%,Entertainment
Soma US,8.42%,Fashion
SONIC® App US,9.00%,Food & Drink
Soothe,18.00%,"Beauty & Lifestyle, Experiences, Travel"
Spa Week Media,13.50%,"Beauty & Lifestyle, Experiences"
SpaFinder US,10.80%,Experiences
Spotify US,7.20%,Entertainment
Stanley & Seafort's US,10.80%,Food & Drink
Staples US,7.65%,"Beauty & Lifestyle, Booksellers, Department Stores"
Starbucks Neo US,5.40%,Food & Drink
Starbucks US,5.40%,Food & Drink
Starz US,8.64%,Entertainment
Steak 'n Shake US,14.40%,Food & Drink
Stitch Fix US,10.08%,Fashion
Stock Yards,11.70%,"Department Stores, Food & Drink"
Strip House US,9.18%,Food & Drink
StubHub US,6.30%,"Entertainment, Experiences"
Subway US,5.36%,Food & Drink
Swarovski US,13.50%,Jewellers
sweetFrog® US,10.71%,Food & Drink
Swissôtel Hotels & Resorts US,7.65%,Experiences
T-Rex Cafe US,10.80%,Food & Drink
Taco Bell,6.30%,"Experiences, Food & Drink"
Target US,4.32%,"Department Stores, Electricals, Entertainment, Fashion, Home & DIY, Supermarkets, Toys & Games"
Texas Roadhouse US,9.00%,Food & Drink
The Boathouse Restaurant US,10.80%,Food & Drink
The Capital Grille US,9.00%,Food & Drink
The Cheesecake Factory,9.00%,Food & Drink
The Children's Place US,9.36%,Fashion
The Container Store US,10.80%,Home & DIY
The Honest Place US,8.64%,Beauty & Lifestyle
The Hunting Inn US,10.80%,Food & Drink
The Oceanaire Restaurant,10.80%,Food & Drink
The Original Stanford's Restaurant & bar US,10.80%,Food & Drink
The Palm US,10.80%,Food & Drink
The Popcorn Factory,11.70%,Department Stores
The Post Oak Hotel at Uptown Houston US,10.80%,Food & Drink
The Villas at the San Luis Resort US,10.80%,Food & Drink
The Vitamin Shoppe® US,7.65%,"Beauty & Lifestyle, Leisure & Sports, Supermarkets"
The Westin Houston Downtown US,10.80%,Food & Drink
ThredUp US,10.80%,Fashion
TIDAL US,6.89%,Entertainment
Tijuana Flats-US,9.18%,Food & Drink
TJ Maxx US,8.10%,Department Stores
Tommy Bahama US,8.64%,"Department Stores, Fashion, Food & Drink"
TopGolf US,7.92%,"Entertainment, Experiences"
Total Wine US,6.12%,Food & Drink
ToursGift US,6.30%,"Experiences, Leisure & Sports, Travel"
Tower of the Americas US,9.18%,Experiences
Trevi Italian Restaurant US,10.80%,Food & Drink
TripGift US,6.75%,"Leisure & Sports, Travel"
Twitch US,6.30%,Entertainment
Uber Eats Neo US,4.50%,Food & Drink
